claim_id,section,type,status,claim,evidence_path,locator,generator_or_source,unit,scope
RC-001,model,proved,admitted,"Fixed-partition eligibility F is exact within a frozen partition.",paper/formalism.md,Proposition 1,paper proof,mathematical model,"Zero service; unlimited capacity; within-bucket batches"
RC-002,model,proved,admitted,"Unique event deadlines suffice as candidate launch times.",paper/formalism.md,Proposition 3,paper proof,mathematical model,"Zero service; unlimited capacity; launch deadlines"
RC-003,model,proved_locally,admitted_qualified,"The equal-relative-deadline recurrence admits an O(N log N) grouped evaluator; the frozen implementation is O(NR + sum n_r log n_r).",paper/formalism.md,Proposition 4 and implementation audit,src/gpu_agent_crossover/ready_cohort.py,integer-clock event set,"Exact specialized evaluator; frozen code rescans route masks; no algorithm-priority claim"
RC-004,model,proved,admitted,"F <= P* <= U under the stated model.",paper/formalism.md,General deadline bounds,paper proof,mathematical model,"Fixed buckets legal under event deadlines"
RC-005,trace,observed,admitted,"The hash-pinned source panel contains 851 tau2 sessions and 9031 extracted LLM completion events.",data/processed/exgentic-tau2-source-manifest.json,quality and source_verification fields,scripts/extract_agent_trace_features.py,fixed public panel,"Dataset commit 70036b93; conversion commit f7c94012; 19/19 local-manifest-remote shard hashes match"
RC-006,trace,computed,admitted_qualified,"The primary route-key-conditioned replay gives F=30.19%, P*=43.00%, U=45.85%, and 81.83% gap closure.",data/processed/trace-exact-packing-summary.csv,"C=100000; delta=50ms; grouping=route_key; K=256",scripts/build_paper_artifacts.py,"3 Monte Carlo seeds on one panel","Stationary Poisson replay; route key is an outcome-derived proxy; no semantic-fusion or workload-population inference"
RC-007,trace,computed,admitted,"All 540 cell-seed evaluations from nine generated swarms pass the prespecified validity invariants.",data/processed/trace-exact-packing-manifest.json,hypotheses,scripts/analyze_trace_exact_packing.py,cell-seed evaluation,"Nine generated swarms total; validity checks rather than population hypotheses"
RC-008,resident,observed,admitted,"Resident-policy-001 compares a device-resident decision with a matched four-byte host round trip.",preregistration/resident-policy-001.md,Frozen mechanisms,native/resident_policy/resident_policy_pilot.cu,mechanism,"Graph setup and validation are outside timing"
RC-009,resident,observed,admitted,"The resident mechanism wins all 36 named placement-cells with median ratios 1.19x to 2.39x.",data/processed/resident-policy-pilot-contrasts.csv,all rows,scripts/analyze_resident_policy_pilot.py,named GPU placement,"Descriptive; four placements; no population p-value"
RC-010,resident,observed,admitted,"All 3240 rows pass their mechanism-specific gates; the two admissible mechanisms contain 14557440 field- and decision-exact tested batched invocations.",data/processed/resident-policy-pilot-manifest.json,placements and pilot_outcomes,scripts/analyze_resident_policy_pilot.py,tested invocation,"Correctness stress, not a field failure-rate estimate; floor decision sequence is assigned"
RC-011,negative,observed,admitted,"A fixed nested device graph is slower in all 60 named placement-cells, with ratios 1.07x to 1.99x.",data/processed/native-dispatch-pilot-contrasts.csv,all rows,scripts/analyze_native_dispatch_pilot.py,named GPU placement,"Five placements; no population claim"
RC-012,novelty,computed,qualified,"The audited sources do not combine route-key-conditioned deadline supply with host-observation placement in one agent-control experiment; they also do not close the larger joined online-runtime gap.",docs/literature-audit-2026-08.md,"ranked verdict and 12 August close-neighbor addendum",primary-source collision audit,search record,"Scoped search through 2026-08-12; not a priority claim; current paper does not implement online A"
RC-013,synthesis,inferred,qualified,"Compatible readiness bounds opportunity, while host observation adds overhead in the tested resident mechanism.",paper/governance/self-improvement-log.md,SI-008,orchestrator synthesis,separate studies,"Residency is not claimed necessary for all GPU benefit; no end-to-end claim"
RC-014,synthesis,proposed,unmeasured,"A finite-capacity route compactor should report online achieved share A against F and P*.",docs/research-decision-2026-08-11.md,flagship design,research proposal,future experiment,"Not a result of the current paper"
RC-015,trace,observed,qualified,"The trace route key is outcome-derived and does not verify executable semantic compatibility.",src/gpu_agent_crossover/trace_features.py,_route_key,scripts/extract_agent_trace_features.py,route label,"Generic multi-tool label merges distinct tool-name encodings; benchmark/harness/state/schema/policy context are not part of the key"
